,0,1,2,3,4
0,1,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,1
3,0,0,0,1,0
4,1,0,0,0,0
5,1,0,0,0,0
6,0,0,0,0,1
7,0,0,0,1,0
8,0,1,0,0,0
9,0,1,0,0,0
10,0,0,1,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,0,0,0,1,0
14,0,0,1,0,0
15,0,0,0,0,1
16,1,0,0,0,0
17,0,0,1,0,0
18,1,0,0,0,0
19,0,0,0,0,1
20,1,0,0,0,0
21,0,0,1,0,0
22,0,0,1,0,0
23,0,1,0,0,0
24,0,0,0,0,1
25,1,0,0,0,0
26,0,0,0,1,0
27,0,1,0,0,0
28,0,0,1,0,0
29,0,0,1,0,0
30,0,0,0,1,0
31,0,0,0,0,1
32,0,0,1,0,0
33,0,0,1,0,0
34,0,0,0,1,0
35,0,0,1,0,0
36,0,1,0,0,0
37,0,0,0,0,1
38,0,0,1,0,0
39,0,0,1,0,0
40,0,0,1,0,0
41,0,0,0,0,1
42,0,1,0,0,0
43,0,0,0,1,0
44,0,1,0,0,0
45,1,0,0,0,0
46,0,0,1,0,0
47,0,0,1,0,0
48,0,0,0,0,1
49,0,0,0,0,1
50,0,1,0,0,0
51,1,0,0,0,0
52,0,1,0,0,0
53,1,0,0,0,0
54,0,0,0,0,1
55,1,0,0,0,0
56,0,1,0,0,0
57,0,0,0,0,1
58,0,1,0,0,0
59,0,0,0,1,0
60,0,0,0,1,0
61,0,1,0,0,0
62,0,1,0,0,0
63,0,0,0,1,0
64,0,1,0,0,0
65,0,0,0,0,1
66,0,1,0,0,0
67,0,0,1,0,0
68,0,1,0,0,0
69,1,0,0,0,0
70,0,0,0,1,0
71,0,0,0,0,1
72,0,0,1,0,0
73,1,0,0,0,0
74,1,0,0,0,0
75,0,1,0,0,0
76,0,0,1,0,0
77,0,0,0,1,0
78,0,0,1,0,0
79,0,0,0,0,1
80,0,1,0,0,0
81,0,0,0,0,1
82,1,0,0,0,0
83,1,0,0,0,0
84,0,0,0,0,1
85,0,0,0,0,1
86,0,1,0,0,0
87,1,0,0,0,0
88,0,0,1,0,0
89,0,0,0,0,1
90,0,0,1,0,0
91,0,1,0,0,0
92,0,1,0,0,0
93,0,1,0,0,0
94,1,0,0,0,0
95,0,0,1,0,0
96,1,0,0,0,0
97,1,0,0,0,0
98,0,0,0,1,0
99,0,0,0,0,1
100,0,1,0,0,0
101,1,0,0,0,0
102,0,1,0,0,0
103,1,0,0,0,0
104,0,0,0,1,0
105,0,0,0,1,0
106,1,0,0,0,0
107,0,0,0,1,0
108,0,1,0,0,0
109,0,0,0,0,1
110,0,0,1,0,0
111,0,0,0,1,0
112,0,0,1,0,0
113,0,0,0,1,0
114,0,0,0,0,1
115,0,1,0,0,0
116,0,0,1,0,0
117,0,0,1,0,0
118,0,1,0,0,0
119,0,0,0,1,0
120,0,0,0,0,1
121,0,0,0,1,0
122,0,1,0,0,0
123,0,1,0,0,0
124,0,0,1,0,0
125,0,1,0,0,0
126,0,0,0,1,0
127,0,0,1,0,0
128,0,0,0,0,1
129,0,1,0,0,0
130,1,0,0,0,0
131,0,0,0,0,1
132,1,0,0,0,0
133,0,0,0,1,0
134,0,1,0,0,0
135,0,0,1,0,0
136,1,0,0,0,0
137,0,0,1,0,0
138,0,0,0,1,0
139,0,0,1,0,0
140,0,0,0,1,0
141,1,0,0,0,0
142,0,0,1,0,0
143,0,0,0,1,0
144,0,1,0,0,0
145,0,0,0,0,1
146,0,1,0,0,0
147,0,0,1,0,0
148,0,0,1,0,0
149,0,0,1,0,0
150,0,1,0,0,0
151,0,1,0,0,0
152,0,1,0,0,0
153,0,0,1,0,0
154,0,0,0,1,0
155,0,0,0,1,0
156,0,0,0,1,0
157,0,0,0,0,1
158,0,0,0,1,0
159,1,0,0,0,0
160,0,1,0,0,0
161,1,0,0,0,0
162,0,0,1,0,0
163,1,0,0,0,0
164,0,0,0,0,1
165,0,0,0,1,0
166,1,0,0,0,0
167,0,0,0,1,0
168,0,0,1,0,0
169,0,0,0,0,1
170,1,0,0,0,0
171,0,0,0,1,0
172,0,0,0,1,0
173,0,0,1,0,0
174,0,1,0,0,0
175,0,0,0,1,0
176,0,0,1,0,0
177,1,0,0,0,0
178,1,0,0,0,0
179,1,0,0,0,0
180,0,0,0,1,0
181,1,0,0,0,0
182,0,0,0,0,1
183,0,0,0,1,0
184,0,0,1,0,0
185,0,0,0,1,0
186,0,1,0,0,0
187,0,0,0,0,1
188,0,0,0,1,0
189,0,0,0,1,0
190,0,0,1,0,0
191,1,0,0,0,0
192,1,0,0,0,0
193,0,0,0,1,0
194,0,0,0,1,0
195,1,0,0,0,0
196,0,1,0,0,0
197,0,0,1,0,0
198,1,0,0,0,0
199,1,0,0,0,0
200,0,0,0,0,1
201,0,0,0,0,1
202,0,1,0,0,0
203,0,0,1,0,0
204,0,0,0,0,1
205,0,0,0,0,1
206,0,0,0,1,0
207,0,0,0,0,1
208,1,0,0,0,0
209,0,0,1,0,0
210,1,0,0,0,0
211,0,0,0,1,0
212,0,0,0,1,0
213,0,1,0,0,0
214,0,0,1,0,0
215,0,1,0,0,0
216,0,0,0,1,0
217,0,0,0,0,1
218,0,1,0,0,0
219,0,0,1,0,0
220,0,0,0,0,1
221,0,1,0,0,0
222,1,0,0,0,0
223,0,0,0,1,0
224,1,0,0,0,0
225,0,0,0,0,1
226,0,1,0,0,0
227,0,0,0,1,0
228,0,1,0,0,0
229,0,0,1,0,0
230,0,0,1,0,0
231,0,1,0,0,0
232,0,0,0,1,0
233,0,0,1,0,0
234,0,0,1,0,0
235,0,0,0,1,0
236,0,0,0,0,1
237,1,0,0,0,0
238,0,1,0,0,0
239,0,0,0,0,1
240,0,0,1,0,0
241,0,0,0,1,0
242,0,0,0,1,0
243,0,0,0,0,1
244,0,1,0,0,0
245,0,0,1,0,0
246,1,0,0,0,0
247,0,0,1,0,0
248,1,0,0,0,0
249,0,0,0,0,1
250,0,1,0,0,0
251,1,0,0,0,0
252,1,0,0,0,0
253,0,0,1,0,0
254,0,0,0,1,0
255,1,0,0,0,0
256,0,0,0,0,1
257,1,0,0,0,0
258,1,0,0,0,0
259,0,0,0,1,0
260,0,1,0,0,0
261,0,0,0,0,1
262,0,0,0,0,1
263,0,1,0,0,0
264,0,0,1,0,0
265,0,0,0,0,1
266,1,0,0,0,0
267,0,0,0,0,1
268,0,0,0,0,1
269,0,1,0,0,0
270,0,1,0,0,0
271,0,0,0,1,0
272,0,1,0,0,0
273,1,0,0,0,0
274,0,1,0,0,0
275,0,1,0,0,0
276,0,0,0,1,0
277,0,1,0,0,0
278,0,0,0,0,1
279,0,0,0,0,1
280,0,0,0,0,1
281,1,0,0,0,0
282,0,0,0,0,1
283,0,0,0,1,0
284,1,0,0,0,0
285,1,0,0,0,0
286,0,1,0,0,0
287,0,0,1,0,0
288,0,0,0,0,1
289,1,0,0,0,0
290,0,0,1,0,0
291,0,0,0,1,0
292,0,1,0,0,0
293,0,0,1,0,0
294,0,0,0,1,0
295,0,1,0,0,0
296,0,1,0,0,0
297,0,1,0,0,0
298,0,0,0,1,0
299,0,0,0,1,0
